Time,Position-x,Position-y,Position-z,Orientation-x,Orientation-y,Orientation-w,Orientation-z
1192.697,9.095787505727536,-2.7385757334140965,0.0,0.0,0.0,0.7648435680333896,0.6442160479512706
1192.799,9.095795320985834,-2.738530422585736,0.0,0.0,0.0,0.7648424374382524,0.644217390244561
1192.799,9.095795320985834,-2.738530422585736,0.0,0.0,0.0,0.7648424374382524,0.644217390244561
1192.897,9.095808741690231,-2.738452611429019,0.0,0.0,0.0,0.7648425814493851,0.6442172192683464
1192.997,9.095814323470375,-2.738420249101613,0.0,0.0,0.0,0.7648425123247826,0.644217301336059
1193.099,9.095823108728645,-2.738369313487437,0.0,0.0,0.0,0.7648424789478147,0.6442173409626302
1193.199,9.09583034543928,-2.7383273561270154,0.0,0.0,0.0,0.7648425065332091,0.6442173082120644
1193.199,9.09583034543928,-2.7383273561270154,0.0,0.0,0.0,0.7648425065332091,0.6442173082120644
1193.299,9.095837293288154,-2.738287073528229,0.0,0.0,0.0,0.7648425032587548,0.6442173120996374
1193.391,9.095841754677423,-2.738261207060538,0.0,0.0,0.0,0.7648424762414308,0.6442173441757653
1193.491,9.095849277356306,-2.7382175912125453,0.0,0.0,0.0,0.7648414677275819,0.6442185415247829
1193.591,9.09585773872169,-2.73816853253994,0.0,0.0,0.0,0.7648414278123519,0.6442185889137032
1193.692,9.095865749180664,-2.738122088161357,0.0,0.0,0.0,0.7648415136822877,0.6442184869655534
1193.692,9.095865749180664,-2.738122088161357,0.0,0.0,0.0,0.7648415136822877,0.6442184869655534
1193.792,9.095873138706784,-2.7380792452291116,0.0,0.0,0.0,0.7648432473505181,0.6442164286808543
1193.892,9.095881211494358,-2.738032441047675,0.0,0.0,0.0,0.7648431880994503,0.6442164990264289
1193.993,9.095889560354637,-2.7379840362435974,0.0,0.0,0.0,0.7648432131692662,0.6442164692623997
1194.095,9.095897440879993,-2.7379383466970517,0.0,0.0,0.0,0.7648422135313214,0.6442176560763517
1194.196,9.095906299927545,-2.7378869830825696,0.0,0.0,0.0,0.7648423106955337,0.644217540718907
1194.196,9.095906299927545,-2.7378869830825696,0.0,0.0,0.0,0.7648423106955337,0.644217540718907
1194.297,9.09591367223989,-2.73784423935942,0.0,0.0,0.0,0.7648423405106819,0.6442175053211006
1194.399,9.09592140053999,-2.7377994316676637,0.0,0.0,0.0,0.7648422411824837,0.644217623247731
1194.499,9.095928698438492,-2.737757119339363,0.0,0.0,0.0,0.7648422498196735,0.644217612993296
1194.499,9.095928698438492,-2.737757119339363,0.0,0.0,0.0,0.7648422498196735,0.644217612993296
1194.599,9.09594214980199,-2.7376791300710153,0.0,0.0,0.0,0.7648422955693791,0.6442175586773172
1194.69,9.095945536592545,-2.7376594938049457,0.0,0.0,0.0,0.7648421558412299,0.644217724568441
1194.79,9.095952663953913,-2.737618169653435,0.0,0.0,0.0,0.764841312896172,0.644218725346648
1194.891,9.095960940340197,-2.7375701833295465,0.0,0.0,0.0,0.7648412649685297,0.6442187822481888
1194.891,9.095960940340197,-2.7375701833295465,0.0,0.0,0.0,0.7648412649685297,0.6442187822481888
1194.991,9.095968012297362,-2.7375291802255615,0.0,0.0,0.0,0.764841233583068,0.6442188195102118
1195.094,9.09597666227146,-2.737479027803481,0.0,0.0,0.0,0.764841244252094,0.6442188068435357
1195.194,9.095984084486547,-2.7374359939245902,0.0,0.0,0.0,0.7648412359189614,0.6442188167369498
1195.194,9.095984084486547,-2.7374359939245902,0.0,0.0,0.0,0.7648412359189614,0.6442188167369498
1195.294,9.095991552244294,-2.737392695988098,0.0,0.0,0.0,0.7648412620841984,0.6442187856725775
1195.397,9.096000308939997,-2.7373419247623576,0.0,0.0,0.0,0.7648398252239836,0.6442204915642983
1195.397,9.096000308939997,-2.7373419247623576,0.0,0.0,0.0,0.7648398252239836,0.6442204915642983
1195.498,9.096007546562134,-2.737299960106098,0.0,0.0,0.0,0.7648400561919867,0.6442202173513639
1195.498,9.096007546562134,-2.737299960106098,0.0,0.0,0.0,0.7648400561919867,0.6442202173513639
1195.593,9.096015052326015,-2.73725644083327,0.0,0.0,0.0,0.7648400388663892,0.6442202379208994
1195.694,9.096023444741974,-2.737207780659422,0.0,0.0,0.0,0.7648400253865912,0.6442202539245708
1195.694,9.096023444741974,-2.737207780659422,0.0,0.0,0.0,0.7648400253865912,0.6442202539245708
1195.797,9.096032274238103,-2.7371565861674387,0.0,0.0,0.0,0.7648399326236127,0.6442203640558931
1195.898,9.096040175537965,-2.737110773452308,0.0,0.0,0.0,0.7648399293141294,0.6442203679850224
1195.898,9.096040175537965,-2.737110773452308,0.0,0.0,0.0,0.7648399293141294,0.6442203679850224
1195.995,9.096047749597693,-2.7370668580951194,0.0,0.0,0.0,0.76483994192222,0.6442203530162759
1196.098,9.096055392440947,-2.7370225436017526,0.0,0.0,0.0,0.764838902406718,0.6442215871618141
1196.098,9.096055392440947,-2.7370225436017526,0.0,0.0,0.0,0.764838902406718,0.6442215871618141
1196.19,9.09606651198529,-2.736958069820469,0.0,0.0,0.0,0.7648388756063307,0.6442216189800244
1196.291,9.096074580562583,-2.7369112862274863,0.0,0.0,0.0,0.7648388325755504,0.6442216700674304
1196.291,9.096074580562583,-2.7369112862274863,0.0,0.0,0.0,0.7648388325755504,0.6442216700674304
1196.391,9.0960818562426,-2.7368691000141303,0.0,0.0,0.0,0.7648387784270171,0.6442217343541494
1196.495,9.09608969479892,-2.736823650134954,0.0,0.0,0.0,0.7648388231741556,0.6442216812290414
1196.495,9.09608969479892,-2.736823650134954,0.0,0.0,0.0,0.7648388231741556,0.6442216812290414
1196.597,9.096098197181936,-2.7367743512176452,0.0,0.0,0.0,0.7648387966841536,0.6442217126787455
1196.697,9.096106082203454,-2.736728631880859,0.0,0.0,0.0,0.7648387703563282,0.6442217439359059
1196.799,9.096114599251186,-2.736679246721859,0.0,0.0,0.0,0.7648375910491702,0.6442231440410243
1196.799,9.096114599251186,-2.736679246721859,0.0,0.0,0.0,0.7648375910491702,0.6442231440410243
1196.889,9.096120049175438,-2.736647645994851,0.0,0.0,0.0,0.7648375506071571,0.6442231920547757
1196.99,9.096127319191893,-2.7366054916503915,0.0,0.0,0.0,0.7648375566087131,0.6442231849295813
1197.092,9.096135420877378,-2.736558515012063,0.0,0.0,0.0,0.7648375730368185,0.6442231654257313
1197.092,9.096135420877378,-2.736558515012063,0.0,0.0,0.0,0.7648375730368185,0.6442231654257313
1197.196,9.096143549128506,-2.7365113843111772,0.0,0.0,0.0,0.764837520816671,0.6442232274227687
1197.298,9.096151173602637,-2.736467174694136,0.0,0.0,0.0,0.764837576589144,0.6442231612083233
1197.398,9.096158060963909,-2.736427239061614,0.0,0.0,0.0,0.7648364890251357,0.6442244523888421
1197.398,9.096158060963909,-2.736427239061614,0.0,0.0,0.0,0.7648364890251357,0.6442244523888421
1197.491,9.096165341811902,-2.736385021102019,0.0,0.0,0.0,0.7648364752427129,0.6442244687516169
1197.594,9.096173270856275,-2.736339044535225,0.0,0.0,0.0,0.7648364438636021,0.6442245060055376
1197.695,9.096181311551414,-2.736292420568922,0.0,0.0,0.0,0.7648364665017039,0.6442244791291216
1197.797,9.096189768108182,-2.7362433851933745,0.0,0.0,0.0,0.7648364052814877,0.6442245518110062
1197.797,9.096189768108182,-2.7362433851933745,0.0,0.0,0.0,0.7648364052814877,0.6442245518110062
1197.894,9.096201471737269,-2.7361755234749,0.0,0.0,0.0,0.7648384554996891,0.6442221177426697
1197.994,9.096208957195394,-2.736132120622997,0.0,0.0,0.0,0.764838438446415,0.6442221379887915
1198.094,9.096215935735785,-2.736091656279766,0.0,0.0,0.0,0.7648372536506152,0.6442235446086899
1198.196,9.096223248927807,-2.736049251339571,0.0,0.0,0.0,0.7648372416428676,0.6442235588645682
1198.296,9.096231076821043,-2.736003861962215,0.0,0.0,0.0,0.7648372118002192,0.644223594294455
1198.396,9.096237421563231,-2.735967072498943,0.0,0.0,0.0,0.7648372218054301,0.6442235824160361
1198.498,9.096245204812508,-2.7359219419385234,0.0,0.0,0.0,0.764837180525556,0.6442236314244596
1198.498,9.096245204812508,-2.7359219419385234,0.0,0.0,0.0,0.764837180525556,0.6442236314244596
1198.599,9.096252873539665,-2.7358774754590724,0.0,0.0,0.0,0.7648372162776214,0.6442235889787792
1198.699,9.09626020197856,-2.7358349821290506,0.0,0.0,0.0,0.7648372110694834,0.6442235951620015
1198.79,9.096266368585344,-2.7357992247403726,0.0,0.0,0.0,0.7648358270638536,0.6442252382820399
1198.891,9.096274820161815,-2.735750217670236,0.0,0.0,0.0,0.7648357270075143,0.6442253570707125
1198.891,9.096274820161815,-2.735750217670236,0.0,0.0,0.0,0.7648357270075143,0.6442253570707125
1198.994,9.096282786270148,-2.735704025565578,0.0,0.0,0.0,0.7648357031049936,0.6442253854482064
1199.094,9.0962911513235,-2.7356555201342396,0.0,0.0,0.0,0.7648357113082976,0.6442253757090995
1199.195,9.096299521669584,-2.735606984037725,0.0,0.0,0.0,0.7648357762717308,0.6442252985833598
1199.195,9.096299521669584,-2.735606984037725,0.0,0.0,0.0,0.7648357762717308,0.6442252985833598
1199.297,9.09630776847324,-2.7355591643338437,0.0,0.0,0.0,0.7648357285871166,0.6442253551953808
1199.395,9.096316001013005,-2.7355114272994863,0.0,0.0,0.0,0.7648356869641391,0.6442254046109123
1199.395,9.096316001013005,-2.7355114272994863,0.0,0.0,0.0,0.7648356869641391,0.6442254046109123
1199.497,9.096323487900163,-2.735468013028687,0.0,0.0,0.0,0.7648343696294148,0.6442269685705309
1199.599,9.096331145446689,-2.735423608996368,0.0,0.0,0.0,0.7648342936016984,0.6442270588315823
1199.599,9.096331145446689,-2.735423608996368,0.0,0.0,0.0,0.7648342936016984,0.6442270588315823
1199.697,9.09634389524319,-2.7353496763231058,0.0,0.0,0.0,0.7648342899016599,0.6442270632243134
1199.797,9.096351317257447,-2.735306638009137,0.0,0.0,0.0,0.7648342411680149,0.6442271210814915
1199.898,9.096359138400024,-2.7352612852127325,0.0,0.0,0.0,0.7648342037982432,0.6442271654473346
1199.898,9.096359138400024,-2.7352612852127325,0.0,0.0,0.0,0.7648342037982432,0.6442271654473346
1199.999,9.096366834413125,-2.735216657902747,0.0,0.0,0.0,0.7648341132494287,0.6442272729479559
1200.089,9.096370357314932,-2.735196229417445,0.0,0.0,0.0,0.7648326336181248,0.6442290295793595
1200.19,9.096378529034977,-2.7351488424027703,0.0,0.0,0.0,0.7648328149657876,0.6442288142822465
1200.29,9.096385939010359,-2.735105872737564,0.0,0.0,0.0,0.7648327558819368,0.6442288844269882
1200.39,9.09639378052824,-2.735060400593685,0.0,0.0,0.0,0.7648328082577103,0.6442288222461213
